the rock be destine to be the century new conan and that he go to make a splash even great than arnold schwarzenegger jean claud van damme or steven segal	1
the gorgeously elaborate continuation of the lord of the ring trilogy be so huge that a column of word can not adequately describe co writer director peter jackson expand vision of j r r tolkien middle earth	1
effective but too tepid biopic	1
if you sometimes like to go to the movie to have fun wasabi be a good place to start	1
emerge as something rare an issue movie that so honest and keenly observed that it do feel like one	1
the film provide some great insight into the neurotic mindset of all comic_strip even those who have reach the absolute top of the game	1
offer that rare combination of entertainment and education	1
perhaps no picture ever make have more literally show that the road to hell be pave with good intention	1
steer turn in a snappy screenplay that curl at the edge it so clever you want to hate it but he somehow pull it off	1
take care of my cat offer a refreshingly different slice of asian cinema	1
this be a film well worth see talk and singe head and all	1
what really surprise about wisegirl be its low key quality and genuine tenderness	1
wendigo be why we go to the cinema to be feed through the eye the heart the mind	1
one of the great family orient fantasy adventure movie ever	1
ultimately it ponder the reason we need story so much	1
an utterly compelling who write it in which the reputation of the most famous author who ever live come into question	1
illuminate if overly talky documentary	1
a masterpiece four year in the making	1
the movie ripe enrapture beauty will tempt those willing to probe its inscrutable mystery	1
offer a breath of the fresh air of true sophistication	1
a thoughtful provocative insistently humanize film	1
with a cast that include some of the top actor work in independent film lovely amazing involve we because it be so incisive so bleakly amuse about how we go about our life	1
a disturbing and frighteningly evocative assembly of imagery and hypnotic music compose by philip glass	1
not for everyone but for those with whom it will connect it a nice departure from standard moviegoing fare	1
score a few point for do what it do with a dedicated and good hearted professionalism	1
occasionally melodramatic it also extremely effective	1
spiderman rock	1
an idealistic love story that bring out the latent year old romantic in everyone	1
at about minute treasure planet maintain a brisk pace as it race through the familiar story however it lack grandeur and that epic quality often associate with stevenson tale as well as with early disney effort	1
it help that lil bow wow tone down his pint sized gangsta act to play someone who resemble a real kid	1
guarantee to move anyone who ever shake rattle or roll	1
a masterful film from a master filmmaker unique in its deceptive grimness compel in its fatalist worldview	1
light cute and forgettable	1
if there a way to effectively teach kid about the danger of drug i think it in project like the unfortunately r rate pay	1
